Algorithm,Array Size,Time Taken (nanoseconds)
LinearSearchStrategy,200000,801933
BinarySearchStrategy,200000,1350
BinaryRecursiveSearchStrategy,200000,2100
TernarySearchStrategy,200000,1766
LinearSearchStrategy,400000,381550
BinarySearchStrategy,400000,1616
BinaryRecursiveSearchStrategy,400000,2400
TernarySearchStrategy,400000,2516
LinearSearchStrategy,600000,633466
BinarySearchStrategy,600000,1766
BinaryRecursiveSearchStrategy,600000,433
TernarySearchStrategy,600000,2333
LinearSearchStrategy,800000,1005166
BinarySearchStrategy,800000,1333
BinaryRecursiveSearchStrategy,800000,400
TernarySearchStrategy,800000,433
LinearSearchStrategy,1000000,970450
BinarySearchStrategy,1000000,1900
BinaryRecursiveSearchStrategy,1000000,400
TernarySearchStrategy,1000000,383
LinearSearchStrategy,1200000,1569600
BinarySearchStrategy,1200000,1950
BinaryRecursiveSearchStrategy,1200000,466
TernarySearchStrategy,1200000,350
LinearSearchStrategy,1400000,1379683
BinarySearchStrategy,1400000,1450
BinaryRecursiveSearchStrategy,1400000,483
TernarySearchStrategy,1400000,383
LinearSearchStrategy,1600000,1689133
BinarySearchStrategy,1600000,1666
BinaryRecursiveSearchStrategy,1600000,416
TernarySearchStrategy,1600000,400
LinearSearchStrategy,1800000,2549300
BinarySearchStrategy,1800000,1400
BinaryRecursiveSearchStrategy,1800000,366
TernarySearchStrategy,1800000,350
LinearSearchStrategy,2000000,2457766
BinarySearchStrategy,2000000,1650
BinaryRecursiveSearchStrategy,2000000,433
TernarySearchStrategy,2000000,383
LinearSearchStrategy,2200000,2421383
BinarySearchStrategy,2200000,1800
BinaryRecursiveSearchStrategy,2200000,433
TernarySearchStrategy,2200000,516
LinearSearchStrategy,2400000,2500300
BinarySearchStrategy,2400000,400
BinaryRecursiveSearchStrategy,2400000,466
TernarySearchStrategy,2400000,400
LinearSearchStrategy,2600000,2801650
BinarySearchStrategy,2600000,383
BinaryRecursiveSearchStrategy,2600000,416
TernarySearchStrategy,2600000,450
LinearSearchStrategy,2800000,2929400
BinarySearchStrategy,2800000,350
BinaryRecursiveSearchStrategy,2800000,416
TernarySearchStrategy,2800000,366
LinearSearchStrategy,3000000,2728033
BinarySearchStrategy,3000000,400
BinaryRecursiveSearchStrategy,3000000,416
TernarySearchStrategy,3000000,400
LinearSearchStrategy,3200000,3110683
BinarySearchStrategy,3200000,400
BinaryRecursiveSearchStrategy,3200000,450
TernarySearchStrategy,3200000,400
LinearSearchStrategy,3400000,3518000
BinarySearchStrategy,3400000,400
BinaryRecursiveSearchStrategy,3400000,516
TernarySearchStrategy,3400000,400
LinearSearchStrategy,3600000,3500633
BinarySearchStrategy,3600000,366
BinaryRecursiveSearchStrategy,3600000,416
TernarySearchStrategy,3600000,416
LinearSearchStrategy,3800000,3603133
BinarySearchStrategy,3800000,366
BinaryRecursiveSearchStrategy,3800000,433
TernarySearchStrategy,3800000,400
LinearSearchStrategy,4000000,3862050
BinarySearchStrategy,4000000,366
BinaryRecursiveSearchStrategy,4000000,466
TernarySearchStrategy,4000000,450
LinearSearchStrategy,4200000,4084433
BinarySearchStrategy,4200000,366
BinaryRecursiveSearchStrategy,4200000,433
TernarySearchStrategy,4200000,366
LinearSearchStrategy,4400000,4412166
BinarySearchStrategy,4400000,366
BinaryRecursiveSearchStrategy,4400000,450
TernarySearchStrategy,4400000,350
LinearSearchStrategy,4600000,4414866
BinarySearchStrategy,4600000,400
BinaryRecursiveSearchStrategy,4600000,450
TernarySearchStrategy,4600000,350
LinearSearchStrategy,4800000,4632266
BinarySearchStrategy,4800000,383
BinaryRecursiveSearchStrategy,4800000,500
TernarySearchStrategy,4800000,383
LinearSearchStrategy,5000000,4897750
BinarySearchStrategy,5000000,416
BinaryRecursiveSearchStrategy,5000000,533
TernarySearchStrategy,5000000,416
